Game,Platform,Release Date,Genres,Rating,Average Hours,Minimum PC Requirements,Developer,Image Link
Metro 2033,PC,2010-03-16,Shooter,3.91,8.95,Minimum:OS: Windows XP Vista or 7Processor: Dual core CPU (any Core 2 Duo or better)Memory: 1GB RAMGraphics: DirectX 9 Shader Model 3 compliant graphics cards (GeForce 8800 GeForce GT220 and above)DirectX(r): DirectX 9.0cEnabling 3D Vision:Metro 2033 utilizes NVIDIA 3D Vision with compatible cards and hardware. To play Metro 2033 in 3D you will require:NVIDIA GeForce GTX 275 and above recommended A 120Hz (or above) monitorNVIDIA 3D Vision kit Microsoft Windows Vista or Windows 7,Dmitry Glukhovsky,//upload.wikimedia.org/wikipedia/en/thumb/0/04/Metro_2033_russian_book_front_cover.jpg/220px-Metro_2033_russian_book_front_cover.jpg
GRID Autosport,PC,2014-06-24,Racing,3.62,8.93,Minimum:OS: Windows Vista Windows 7 or Windows 8Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+Memory: 2 GB RAMGraphics: Intel HD3000 or AMD HD2000 Series or NVIDIA Geforce 8000 Series SeriesNetwork: Broadband Internet connectionStorage: 15 GB available spaceSound Card: Direct X compatible soundcardAdditional Notes: Supported Graphics Cards  *Intel HD3000 Series HD4000 Series HD5000 Series *AMD Radeon HD2000 Series HD3000 Series HD4000 Series HD5000 Series HD6000 Series HD7000 Series R7 Series R9 Series *NVIDIA GeForce 8000 Series 9000 Series GTX200 Series GTX400 Series GTX500 Series GTX600 Series GTX700 Series *AMD Fusion A8 or higher,Codemasters,//upload.wikimedia.org/wikipedia/en/thumb/5/58/Grid_autosport.png/220px-Grid_autosport.png
Elven Legacy,PC,2009-04-07,Strategy,2.85,8.6,Minimum                    Operating System: Microsoft(r) Windows(r) XP / Vista                    Processor: Intel(r) Pentium(r) IV 1.5 GHz or AMD(r) 2000+ (single core)                    Memory: 512 MB RAM                    Hard Disk Space: 3 GB Available HDD Space                    Video Card: NVIDIA(r) GeForce(tm) FX 5700 or ATI(tm) Radeon(r) 9600 and above Video Card                    Sound Card: DirectX-compatible Sound Card                    DirectX(r) Version: DirectX(r) Version 9.0c (4.09.0000.0904),1C: Ino-Co,//upload.wikimedia.org/wikipedia/en/thumb/6/65/Elven_Legacy_Cover.jpg/250px-Elven_Legacy_Cover.jpg
The Evil Within,PC,2014-10-12,Shooter,3.97,8.55,Minimum:OS: 64-bit Windows 7 SP1/Windows 8.1Processor: i7 or an equivalent with four plus core processorMemory: 4 GB RAMGraphics: GTX 460 or equivalent 1 GB VRAM cardDirectX: Version 11Storage: 50 GB available spaceAdditional Notes: Its worth noting that the 50 GB of space required is for the PC install. When the installation is complete the game will take up ~41 GB of HDD space,Tango Gameworks,//upload.wikimedia.org/wikipedia/en/thumb/5/56/The_Evil_Within_boxart.jpg/220px-The_Evil_Within_boxart.jpg
Front Mission Evolved,PC,2010-08-11,Shooter,3.16,8.19,Minimum:OS: Windows XP Vista Windows 7Processor: Intel Pentium D 1.8 GHz or AMD Athlon 64 x2 1.8 GHzMemory: 1GB RAM (XP) 2GB RAM (Vista/7)Graphics: 512MB NVIDIA GeForce 7800 series graphics card or equivalentDirectX(r): 9.0cHard Drive: 11 GB Free SpaceSound: DirectX(r) 9.0c compatible sound card Controller Support: Mouse Keyboard Xbox 360 Controller,Double Helix Games,//upload.wikimedia.org/wikipedia/en/thumb/a/ad/Front_Mission_Evolved.jpg/220px-Front_Mission_Evolved.jpg
F.E.A.R. 3,PC,2011-03-25,Shooter,3.33,7.74,Minimum:OS: Windows XPProcessor: Intel Core 2 Duo 2.4Ghz AMD Athlon X2 4800+Drive Space: 4.4GBRAM: 2GBVideo Card: NVIDIA 8800 GT 512MB RAM ATI 3850HD 512Mb RAM or betterDirectX(r): 9.0c,Day 1 Studios,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Fear_3_Promo_Art.jpg/220px-Fear_3_Promo_Art.jpg
The Testament of Sherlock Holmes,PC,2012-09-20,Adventure,3.43,7.52,Minimum:OS:WINDOWS XP SP3/WINDOWS VISTA SP2/WINDOWS 7Processor:AMD/INTEL DUAL-CORE 2 GHZMemory:2048 MB RAMGraphics:256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON HD 2600 XT/NVIDIA GEFORCE 8600 GT OR HIGHERDirectX(r):9.0cHard Drive:14 GB HD spaceSound:DIRECTX 9 COMPATIBLE,Frogwares,//upload.wikimedia.org/wikipedia/en/thumb/f/f9/The_Testament_of_Sherlock_Holmes_cover.jpg/220px-The_Testament_of_Sherlock_Holmes_cover.jpg
Take On Helicopters,PC,2011-10-27,Simulation,2.1,7.51,Minimum:OS:Windows XPProcessor:Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz or fasterMemory:2 GB RAMGraphics:NVIDIA GeForce 8800GT or ATI Radeon 4850 with Shader Model 3 and 512 MB VRAM or fasterDirectX(r):dx90cHard Drive:20 GB HD spaceSound:DirectX 9.0c compatible audio-card,Bohemia Interactive,//upload.wikimedia.org/wikipedia/en/thumb/d/d1/Take_On_Helicopters_-_Cover.jpg/220px-Take_On_Helicopters_-_Cover.jpg
Worms Reloaded,PC,2010-08-26,Strategy,3.68,7.43,OS: Windows XP Vista 7Processor: 1.25GHz AMD Athlon or Intel equivalent Memory: 1GB Graphics: 128MB Video Card (GeForce4 or equivalent card)DirectX(r): DirectX(r) 9 or aboveHard Drive: 2063MBSound: DirectX(r) 9.0c-compliant sound cardOther Requirements: Internet connection required,Team17,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Worms_Reloaded.jpg/220px-Worms_Reloaded.jpg
The Darkness II,PC,2012-02-07,Action,3.69,7.2,Minimum:OS: Windows XP/Vista/7Processor: Intel Core 2 @ 2GHz / AMD Athlon 64 X2 4200+Memory: 1.5GB RAM Hard Disk Space: 10GBVideo Card: 256MB NVIDIA GeForce 8600 / ATI Radeon HD 2600Sound: DirectX CompatibleAdditional: Requires installation of Visual C++ 2008 Redistributable DirectX and nVidia PhysX version 9.11.1107 (included with download),Digital Extremes,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/The_Darkness_II_cover.jpg/220px-The_Darkness_II_cover.jpg
Crysis,PC,2007-11-12,Shooter,4.04,6.91,Minimum:Supported OS: Windows XP or Windows Vista***Processor: 2.8 GHz or faster (XP) or 3.2 GHz or faster* (Vista)Memory: 1.0 GB RAM (XP) or 1.5 GB RAM (Vista)Graphics: 256 MB**DirectX Version: DirectX 9.0c (included)Sound: DirectX 9.0c compatibleHard Drive: 12GB* Supported Processors: Intel Pentium 4 2.8 GHz (3.2 GHz for Vista) or faster Intel Core 2.0 GHz (2.2 GHz for Vista) or faster AMD Athlon 2800+ (3200+ for Vista) or faster.** Supported chipsets: NVIDIA GeForce 6800 GT or greater; ATI Radeon 9800 Pro (Radeon X800 Pro for Vista) or greater. Laptop versions of these chipsets may work but are not supported. Integrated chipsets are not supported. Updates to your video and sound card drivers may be required.*** Currently only the 32-bit version is available.,First-person shooter,//upload.wikimedia.org/wikipedia/en/thumb/a/a3/Crysis_Logo.png/250px-Crysis_Logo.png
Devil May Cry 4,PC,2008-01-22,Adventure,4.12,6.37,Minimum:OS: Windows XP Service Pack 2Processor: Intel 4 Pentium processor or betterMemory: 512 MBGraphics: NVIDIA GeForce 6600 series or betterHard Drive: 8GB of free space,Capcom,//upload.wikimedia.org/wikipedia/en/thumb/b/bb/DMC4COVER.jpg/220px-DMC4COVER.jpg
Dungeon Siege III,PC,2011-05-31,Action,3.1,6.35,Minimum: OS: Windows XP SP3 Vista SP1 Windows 7Processor: Core 2 Duo 2.5 GHz or equivalentMemory: 1.5 GBGraphics: ATI Radeon HD 3870 or NVIDIA 9800 GTDirectX(r): DirectX(r) 9.0cHard Drive: 4 GB for full installationSound: No accelerated sound hardware required,Obsidian Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Dungeon_Siege_III.jpg/220px-Dungeon_Siege_III.jpg
Airline Tycoon 2,PC,2011-10-04,Strategy,1.57,6.2,OS: Windows XP / Vista / 7Processor: 3 GHz Intel Pentium D / AMD Athlon 64 3000+Memory: 1 GBHard Disk Space: Video Card: Nvidia Geforce 8600 GT / ATI Radeon X 1800DirectX(r): 9.0cSound: DirectX-compatible,Spellbound,//upload.wikimedia.org/wikipedia/en/thumb/a/a0/Airline_Tycoon_CD_Cover.jpg/220px-Airline_Tycoon_CD_Cover.jpg
Sonic & All-Stars Racing Transformed,PC,2012-11-16,Racing,3.88,5.79,Minimum:OS: Windows XP Windows Vista Windows 7 Windows 8Processor: 2GHz Intel Core 2 Duo or equivalentMemory: 1GB Ram (Windows XP) 2GB Ram (Windows Vista Windows 7 Windows 8)Graphics: 256MB with Shader Model 3.0 supportDirectX(r): 9.0cHard Drive: 6.7GB free hard drive spaceSound: DirectX 9 Compatible,Sumo Digital,//upload.wikimedia.org/wikipedia/en/thumb/8/89/Sonic_%26_All-Stars_Racing_Transformed_box_artwork.png/220px-Sonic_%26_All-Stars_Racing_Transformed_box_artwork.png
Max Payne,PC,2001-07-23,Shooter,4.47,5.07,Minimum:OS: Microsoft(r) Windows(r) 2000/XP (only)Processor: 450MHz AMD / Intel ProcessorMemory: 96 MB RAM (128 MB RAM or greater recommended)Graphics: 16MB Direct3D Compatible Graphics CardDirectX Version: DirectX 8.0Hard Drive: 830 MB Hard Drive Space for full install 530 MB for minimum installSound Card: DirectSound compatible sound card,Third-person shooter,//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Max_Payne_logo.jpg/250px-Max_Payne_logo.jpg
Mini Ninjas,PC,2009-09-08,Family,3.48,4.5,Minimum:                    OS: Windows XP and Vista                    Processor: PIV/Athlon 3.2ghz or higher processor                    Memory: 512MB system RAM (1GB Vista)                    Graphics: ATI Radeon X1300 or higher / Nvidia Geforce 6600 or higher (shader model 3 required) graphics card                    Hard Drive: 5.85GB free space                    Sound: DirectX 9 compatible sound card,IO Interactive,//upload.wikimedia.org/wikipedia/en/thumb/c/ce/Minininjas.jpg/220px-Minininjas.jpg
Street Fighter X Tekken,PC,2011-09-05,Action,3.29,4.47,Minimum Requirements at 800x600 resolution @ 30FPS):OS: Windows XPProcessor: Intel Dual Core 1.8GHz (or higher) or AMD Athlon II X2 (or higher) Memory: 1GB (or higher)Hard Disk Space: 10GB of free space Video Card: nVidia GF6600 (or higher) or ATi X1600 (or higher) with 256MB of RAMDirectX(r): 9.0cSound: DirectSound compatible DirectX 9.0c (or higher) compatible        Other Requirements: Online play requires software installation of and log-in to Games For Windows - LIVE,Dimps,//upload.wikimedia.org/wikipedia/en/thumb/f/fb/SF-X-Tekken_box_art.jpg/220px-SF-X-Tekken_box_art.jpg
Titan Quest,PC,2006-06-26,Action,3.9,4.39,Minimum: Windows(r) 2000 or XP 1.8 Ghz Intel Pentium IV or equivalent or AMD Athlon XP or equivalent  512 MB RAM 5 GB free hard drive space 64 MB NVIDIA GeForce 3 or equivalent or ATI Radeon 8500 series with Pixel Shader 1.1 support or equivalent DirectX(r) 9.0c compatible 16-bit sound card Keyboard MouseRecommended: Windows XP 3.0 Ghz Intel Pentium IV or equivalent 1 GB RAM 128 MB NVIDIA GeForce 6800 series or ATI Radeon X800 series or equivalent Soundblaster X-Fi series sound card,Iron Lore Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/1/1c/Titan_Quest.jpg/220px-Titan_Quest.jpg
Machinarium,PC,2009-10-16,Family,4.13,4.32,OS: Microsoft(r) Windows(r) XP/Vista/7Processor: 1.8 Ghz ProcessorMemory: 1GB Ram Hard Drive: 380MB Free space,Amanita Design,//upload.wikimedia.org/wikipedia/en/thumb/4/4b/Machinarium-cover_art.png/220px-Machinarium-cover_art.png
Goodbye Deponia,PC,2013-10-15,Adventure,4.06,4.16,Minimum:OS: Windows Vista/7/8Processor: 2.5 GHz Single Core Processor or 2 GHz Dual Core ProcessorMemory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended)Storage: 3 GB available spaceAdditional Notes: Mouse,Daedalic Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/Goodbye_Deponia_coverart.png/220px-Goodbye_Deponia_coverart.png
Goodbye Deponia,PC,2013-10-15,Adventure,4.06,4.16,Minimum:OS: Windows Vista/7/8Processor: 2.5 GHz Single Core Processor or 2 GHz Dual Core ProcessorMemory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended)Storage: 3 GB available spaceAdditional Notes: Mouse,Daedalic Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/Goodbye_Deponia_coverart.png/220px-Goodbye_Deponia_coverart.png
Wildlife Park 3,PC,2014-05-12,Casual,0.0,4.0,Minimum:OS: 10/8/7/VISTA/2000/XPProcessor: 3 GHz Intel Pentium(r) D AMD Athlon(tm)64 3000+Memory: 1 GB RAMGraphics: NVIDIA GeForce 8600 GT ATI Radeon X1800 or better (min. 256 MB Video- RAM DirectX(r)9c Shadermodel 2.0)DirectX: Version 9.0c,B-Alive GmbH,//upload.wikimedia.org/wikipedia/en/thumb/8/8a/Wildlife_Park_Coverart.jpg/220px-Wildlife_Park_Coverart.jpg
Split/Second,PC,2010-05-18,Racing,3.88,3.95,Minimum:OS: Microsoft Windows 7 / Vista SP2 / XP SP3Processor: 3.0 GHz Intel Pentium D processor (Windows 7 / Vista) / 2.6 GHz Intel Pentium D processor (Windows XP) or 2.0 GHz AMD Athlon 64 X2 or equivalent processorMemory: 2560 MB RAMGraphics: 256 MB DirectX 9.0c-compatible 3D video card supporting Shaders 3.0 (NVIDIA GeForce 7600 or better ATI Radeon X1600 or better)DirectX: Version 9.0cStorage: 6656 MB available spaceSound Card: 16-bit DirectX 9.0c-compatible sound cardAdditional Notes: Onboard (built-in) integrated chipsets are not supported,Black Rock Studio,//upload.wikimedia.org/wikipedia/en/thumb/a/a8/Split_Second_Velocity_EU_Cover.jpg/220px-Split_Second_Velocity_EU_Cover.jpg
Grand Theft Auto III,PC,2001-10-22,Adventure,4.16,3.66,Minimum:OS: Microsoft(r) Windows(r) 2000/XPProcessor: Pentium III(r) 450 MHz CPUMemory: 96 MB RAMGraphics: 16 MB Direct 3D Video CardDirectX Version: Microsoft DirectX(r) 8.1Hard Drive: 500 MB uncompressed free hard disk spaceSound Card:Fully DirectX compatible Sound CardRecommended:Processor: 700 MHz CPUMemory: 128 MB RAMGraphics: 32 MB Direct3D Video Card,DMA Design,//upload.wikimedia.org/wikipedia/en/thumb/b/be/GTA3boxcover.jpg/220px-GTA3boxcover.jpg
The Longest Journey,PC,1999-11-18,Adventure,4.33,3.56,Minimum: Windows 2000/XP Pentium 166 MMX  32 MB RAM Mouse and Keyboard 640x480 SVGA high colour (16bit) video card with 2 MB RAM Windows compatible sound device 300 MB free hard drive spaceRecommended: Pentium II 266 mhz 64 MB RAM  3d accelarator card ( Direct 3d compatible ) with 4 MB RAM 1GB free hard drive space,Funcom,//upload.wikimedia.org/wikipedia/en/thumb/8/8a/The_Longest_Journey_%28game_box_art%29.jpg/220px-The_Longest_Journey_%28game_box_art%29.jpg
Railroad Tycoon 3,PC,2003-10-22,Strategy,2.64,3.52,Minimum: Windows 2000/XP (only) 400 mhz 128 MB RAM 1.2 GB Free Disk Space 16 MB 3D Video Card mouse and keyboard DirectX compatible sound card with speakers/headphones recommended.,PopTop Software,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Railroad_Tycoon_3_cover_art.jpg/220px-Railroad_Tycoon_3_cover_art.jpg
Botanicula,PC,2012-04-18,Adventure,3.89,3.08,OS:Microsoft(r) Windows(r) XP/Vista/7Processor:1.6 Ghz ProcessorMemory:1 GB RAMDirectX(r):5.0Hard Drive:700 MB HD space,Amanita Design,//upload.wikimedia.org/wikipedia/en/thumb/6/6d/Botanicula_video_game_cover.jpg/220px-Botanicula_video_game_cover.jpg
Syberia,PC,2002-05-28,Adventure,4.07,2.66,OS: Windows XP/Vista/7 Processor: 1GHz CPU Memory: 512MBHard Disk Space: 1.2GBVideo Card: DirectX compatible graphics card with 128 MB memoryDirectX(r): 9.0cSound: Sound card with DirectX 9.0c support,Microïds,//upload.wikimedia.org/wikipedia/en/thumb/c/c8/Syberia_Coverart.png/220px-Syberia_Coverart.png
Oil Rush,PC,2012-01-25,Strategy,2.37,2.38,Minimum:OS: XP                Processor: 2 GHz                Memory: 1 GB RAM                Graphics: NVIDIA 9600 256 MB or Intel HD 4000                Hard Drive: 3 GB HD space,UNIGINE Holding S.à r.l.,//upload.wikimedia.org/wikipedia/en/thumb/4/4e/Oil_Rush_cover.png/220px-Oil_Rush_cover.png
Jack Keane,PC,2007-07-31,Adventure,2.33,2.2,Minimum:OS: Microsoft Windows XP Windows VistaProcessor: Pentium IV 2 GHz / Athlon 2.4 GHzMemory: 512 MB RAM Graphics: DirectX 9.0c-compatible graphic card with 128 MB RAM (MX series and XGI Volari are not supported)Hard Drive: 1.5 GB hard-disk capacity Input Devices:  DirectX 9.0c-compatible keyboard and mouse,New York City,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Jack_Keane.jpg/220px-Jack_Keane.jpg
Sacred Gold,PC,2004-10-21,Action,4.19,1.93,Minimum: Supported OS: Windows 2000/XP Processor: Intel Pentium(r) III 800 MHzMemory: 256 MB RAMGraphics: 16 MB DirectX 8 compatible graphics cardDirectX: DirectX(r) 9.0cSound: DirectX compatible sound cardHard Drive: 2 GB HD Space,Ascaron,//upload.wikimedia.org/wikipedia/en/thumb/6/6e/Sacred_game.jpg/220px-Sacred_game.jpg
Hospital Tycoon,PC,2007-06-07,Simulation,3.05,1.56,Minimum:                     Supported OS: Windows XP                    Processor: Pentium 4 @ 1.6 GHz or Athlon 1600+                    System Memory: 512MB RAM                    Video Card: GeForce 3 / Radeon 8500*                    Sound Card: DirectX Compatible Sound Card                    DirectX Version: DirectX 9.0c                    Hard Disk: 750 MB Hard Drive Space                    *Supported Graphics Cards:                    ATi Radeon 8500 9000 9100 9200 9500 9600 9700 9800 X300 X600 X700 X800 X1300 X1600 X1800 X1900 X1950                    nVidia Geforce 3-series 4-series (Not MX) FX5200 FX5600 FX5700 FX5950 6600 6800 7100 7300 7600 7800 7900 7950 8800.                     Not compatible with all integrated sound/graphics solutions (inc. Laptops).,DR Studios,//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Hospital_Tycoon_PC_Cover.JPG/220px-Hospital_Tycoon_PC_Cover.JPG
Tomb Raider II,macOS,2011-10-27,Adventure,3.45,1.5,Minimum:OS:Windows XP / Windows Vista / Windows 7Processor:1.8 GHz ProcessorMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 9DirectX(r):9.0Hard Drive:2 GB HD space,Core Design,//upload.wikimedia.org/wikipedia/en/thumb/d/d4/Tomb_Raider_II.png/220px-Tomb_Raider_II.png
Euro Truck Simulator,PC,2008-08-06,Indie,3.56,1.44,Minimum:OS: Windows XPProcessor: 2.4 GHzMemory: 1 GB RAMGraphics: 256 MBDirectX(r): 9.0cHard Drive: 2 GB HD spaceSound: Any DirectX compatibleAdditional: Gamepad or steering wheel recommended,SCS Software,//upload.wikimedia.org/wikipedia/en/thumb/5/5c/Euro_Truck_Simulator_Box_Art.jpg/220px-Euro_Truck_Simulator_Box_Art.jpg
World of Zoo,PC,2009-10-26,Simulation,0.0,1.2,OS: Microsoft Windows XP/VistaProcessor: Intel Pentium IV processor running at 2 GHz AMD 64 Core 2 duo 1.6Ghz  or equivalent Memory: 512 MB RAM (1 GB RAM on Vista)Graphics: Nvidia GeForce 6600 GT or ATI Radeon x1600 with at least 64MB of memory (video cards with Pixel Shader version 1.1 or better are required)Display: DirectX-compatible display capable of 800x600 resolution in 16-bit colorDirectX(r): DirectX 9.0c and aboveHard Drive: 2GB of hard drive spaceSound: Sound: 16-bit Sound Blaster Compatible,Blue Fang Games,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/WorldofZoo.jpg/220px-WorldofZoo.jpg
Bejeweled 2 Deluxe,PC,2006-08-30,Casual,3.55,0.8,Minimum Requirements: Windows 98/ME/2000/XP 128 MB RAM 500MHz or faster DirectX: 7.0,PopCap Games,//upload.wikimedia.org/wikipedia/en/d/d2/Bejeweled2cover.jpg
15 Days,PC,2010-06-24,Casual,0.0,0.5,Minimum:OS: Windows XP / Vista / 7 / 8 32 or 64 bitProcessor: 16 GHz Intel or AMDMemory: 1 GB RAMGraphics: DirectX 9 compliant video card Shader Model 2 and 128 MB VRAMDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DirectX compatible card,House of Tales,//upload.wikimedia.org/wikipedia/en/thumb/1/12/15_Days_game.jpg/220px-15_Days_game.jpg
Alone in the Dark,PC,2008-01-01,Adventure,3.32,0.4,Minimum:OS: Windows(r) XP/Vista 32 64 bitProcessor: Intel Pentium(r) D 2.6 GHz AMD Athlon(tm) X2 3800+Memory: 1 GB RAMGraphics: NVIDIA GeForce 7600 ATI Radeon X1650 XTDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 9 GB available spaceAdditional Notes: An internet connection is needed at install first launch and to revoke license.,Survival horror,//upload.wikimedia.org/wikipedia/en/thumb/c/c2/Alone_in_the_Dark_1-2-3_logo.png/250px-Alone_in_the_Dark_1-2-3_logo.png
The 7th Guest,PC,1993-04-01,Adventure,3.39,0.25,Minimum:OS: Windows XP / Vista / 7Processor: 1.8 GHz ProcessorMemory: 512 MB RAMGraphics: 3D graphics cardDirectX: Version 9.0cStorage: 2 GB available space,Trilobyte,//upload.wikimedia.org/wikipedia/en/thumb/6/6b/The_7th_Guest_-_cover.jpg/220px-The_7th_Guest_-_cover.jpg
